song,start,instrument,set
data/train/violin_solo_train_Violino Solo - Eine Kleine Nachtmusik.wav,882000,violin,train
data/train/violin_solo_train_Violino Solo - Eine Kleine Nachtmusik.wav,970200,violin,train
data/train/violin_solo_train_Violino Solo - Eine Kleine Nachtmusik.wav,1058400,violin,train
data/train/violin_solo_train_Violino Solo - Eine Kleine Nachtmusik.wav,1146600,violin,train
data/train/violin_solo_train_Violino Solo - Eine Kleine Nachtmusik.wav,1234800,violin,train
data/train/violin_solo_train_Violino Solo - Eine Kleine Nachtmusik.wav,1323000,violin,train
data/train/violin_solo_train_Violino Solo - Eine Kleine Nachtmusik.wav,1411200,violin,train
data/train/violin_solo_train_Violino Solo - Eine Kleine Nachtmusik.wav,1499400,violin,train
data/train/violin_solo_train_Violino Solo - Eine Kleine Nachtmusik.wav,1587600,violin,train
data/train/violin_solo_train_Violino Solo - Eine Kleine Nachtmusik.wav,1675800,violin,train
data/train/violin_solo_train_Violino Solo - Eine Kleine Nachtmusik.wav,1764000,violin,train
data/train/violin_solo_train_Violino Solo - Eine Kleine Nachtmusik.wav,1852200,violin,train
data/train/violin_solo_train_Violino Solo - Eine Kleine Nachtmusik.wav,1940400,violin,train
data/train/violin_solo_train_Violino Solo - Eine Kleine Nachtmusik.wav,2028600,violin,train
data/train/violin_solo_train_Violino Solo - Eine Kleine Nachtmusik.wav,2116800,violin,train
data/train/violin_solo_train_Violino Solo - Eine Kleine Nachtmusik.wav,2205000,violin,train
data/train/violin_solo_train_Violino Solo - Eine Kleine Nachtmusik.wav,2293200,violin,train
data/train/violin_solo_train_Violino Solo - Eine Kleine Nachtmusik.wav,2381400,violin,train
data/train/violin_solo_train_Violino Solo - Eine Kleine Nachtmusik.wav,2469600,violin,train
data/train/violin_solo_train_Violino Solo - Eine Kleine Nachtmusik.wav,2557800,violin,train
data/train/violin_solo_train_Violino Solo - Eine Kleine Nachtmusik.wav,2646000,violin,train
data/train/violin_solo_train_Violino Solo - Eine Kleine Nachtmusik.wav,2734200,violin,train
data/train/violin_solo_train_Violino Solo - Eine Kleine Nachtmusik.wav,2822400,violin,train
data/train/violin_solo_train_Violino Solo - Eine Kleine Nachtmusik.wav,2910600,violin,train
data/train/violin_solo_train_Violino Solo - Eine Kleine Nachtmusik.wav,2998800,violin,train
data/train/violin_solo_train_Violino Solo - Eine Kleine Nachtmusik.wav,3087000,violin,train
data/train/violin_solo_train_Violino Solo - Eine Kleine Nachtmusik.wav,3175200,violin,train
data/train/violin_solo_train_Violino Solo - Eine Kleine Nachtmusik.wav,3263400,violin,train
data/train/violin_solo_train_Violino Solo - Eine Kleine Nachtmusik.wav,3351600,violin,train
data/train/violin_solo_train_Violino Solo - Eine Kleine Nachtmusik.wav,3439800,violin,train
data/train/violin_solo_train_Violino Solo - Eine Kleine Nachtmusik.wav,3528000,violin,train
data/train/violin_solo_train_Violino Solo - Eine Kleine Nachtmusik.wav,3616200,violin,train
data/train/violin_solo_train_Violino Solo - Eine Kleine Nachtmusik.wav,3704400,violin,train
data/train/violin_solo_train_mozart symphony no 40 violin.wav,0,violin,train
data/train/violin_solo_train_mozart symphony no 40 violin.wav,88200,violin,train
data/train/violin_solo_train_mozart symphony no 40 violin.wav,176400,violin,train
data/train/violin_solo_train_mozart symphony no 40 violin.wav,264600,violin,train
data/train/violin_solo_train_mozart symphony no 40 violin.wav,352800,violin,train
data/train/violin_solo_train_mozart symphony no 40 violin.wav,441000,violin,train
data/train/violin_solo_train_mozart symphony no 40 violin.wav,529200,violin,train
data/train/violin_solo_train_mozart symphony no 40 violin.wav,617400,violin,train
data/train/violin_solo_train_mozart symphony no 40 violin.wav,705600,violin,train
data/train/violin_solo_train_mozart symphony no 40 violin.wav,793800,violin,train
data/train/violin_solo_train_mozart symphony no 40 violin.wav,882000,violin,train
data/train/violin_solo_train_mozart symphony no 40 violin.wav,970200,violin,train
data/train/violin_solo_train_mozart symphony no 40 violin.wav,1058400,violin,train
data/train/violin_solo_train_mozart symphony no 40 violin.wav,1146600,violin,train
data/train/violin_solo_train_mozart symphony no 40 violin.wav,1234800,violin,train
data/train/violin_solo_train_mozart symphony no 40 violin.wav,1323000,violin,train
data/train/violin_solo_train_mozart symphony no 40 violin.wav,1411200,violin,train
data/train/violin_solo_train_mozart symphony no 40 violin.wav,1499400,violin,train
data/train/violin_solo_train_mozart symphony no 40 violin.wav,1587600,violin,train
data/train/violin_solo_train_mozart symphony no 40 violin.wav,1675800,violin,train
data/train/violin_solo_train_mozart symphony no 40 violin.wav,1764000,violin,train
data/train/violin_solo_train_mozart symphony no 40 violin.wav,1852200,violin,train
data/train/violin_solo_train_mozart symphony no 40 violin.wav,1940400,violin,train
data/train/violin_solo_train_mozart symphony no 40 violin.wav,2028600,violin,train
data/train/violin_solo_train_mozart symphony no 40 violin.wav,2116800,violin,train
data/train/violin_solo_train_mozart symphony no 40 violin.wav,2205000,violin,train
data/train/violin_solo_train_mozart symphony no 40 violin.wav,2293200,violin,train
data/train/violin_solo_train_mozart symphony no 40 violin.wav,2381400,violin,train
data/train/violin_solo_train_mozart symphony no 40 violin.wav,2469600,violin,train
data/train/violin_solo_train_mozart symphony no 40 violin.wav,2557800,violin,train
data/train/violin_solo_train_mozart symphony no 40 violin.wav,2646000,violin,train
data/train/violin_solo_train_mozart symphony no 40 violin.wav,2734200,violin,train
data/train/violin_solo_train_mozart symphony no 40 violin.wav,2822400,violin,train
data/train/violin_solo_train_mozart symphony no 40 violin.wav,2910600,violin,train
data/train/violin_solo_train_mozart symphony no 40 violin.wav,2998800,violin,train
data/train/violin_solo_train_mozart symphony no 40 violin.wav,3087000,violin,train
data/train/violin_solo_train_mozart symphony no 40 violin.wav,3175200,violin,train
data/train/violin_solo_train_mozart symphony no 40 violin.wav,3263400,violin,train
data/train/violin_solo_train_mozart symphony no 40 violin.wav,3351600,violin,train
data/train/violin_solo_train_mozart symphony no 40 violin.wav,3439800,violin,train
data/train/violin_solo_train_mozart symphony no 40 violin.wav,3528000,violin,train
data/train/violin_solo_train_mozart symphony no 40 violin.wav,3616200,violin,train
data/train/violin_solo_train_mozart symphony no 40 violin.wav,3704400,violin,train
data/train/violin_solo_train_mozart symphony no 40 violin.wav,3792600,violin,train
data/train/violin_solo_train_mozart symphony no 40 violin.wav,3880800,violin,train
data/train/violin_solo_train_mozart symphony no 40 violin.wav,3969000,violin,train
data/train/violin_solo_train_mozart symphony no 40 violin.wav,4057200,violin,train
data/train/violin_solo_train_mozart symphony no 40 violin.wav,4145400,violin,train
data/train/violin_solo_train_mozart symphony no 40 violin.wav,4233600,violin,train
data/train/violin_solo_train_mozart symphony no 40 violin.wav,4321800,violin,train
data/train/violin_solo_train_mozart symphony no 40 violin.wav,4410000,violin,train
data/train/violin_solo_train_mozart symphony no 40 violin.wav,4498200,violin,train
data/train/violin_solo_train_mozart symphony no 40 violin.wav,4586400,violin,train
data/train/violin_solo_train_mozart symphony no 40 violin.wav,4674600,violin,train
data/train/violin_solo_train_mozart symphony no 40 violin.wav,4762800,violin,train
data/train/violin_solo_train_mozart symphony no 40 violin.wav,4851000,violin,train
data/train/violin_solo_train_mozart symphony no 40 violin.wav,4939200,violin,train
data/train/violin_solo_train_mozart symphony no 40 violin.wav,5027400,violin,train
data/train/violin_solo_train_mozart symphony no 40 violin.wav,5115600,violin,train
data/train/violin_solo_train_mozart symphony no 40 violin.wav,5203800,violin,train
data/train/violin_solo_train_mozart symphony no 40 violin.wav,5292000,violin,train
data/train/violin_solo_train_mozart symphony no 40 violin.wav,5380200,violin,train
data/train/violin_solo_train_mozart symphony no 40 violin.wav,5468400,violin,train
data/train/violin_solo_train_mozart symphony no 40 violin.wav,5556600,violin,train
data/train/violin_solo_train_mozart symphony no 40 violin.wav,5644800,violin,train
data/train/violin_solo_train_mozart symphony no 40 violin.wav,5733000,violin,train
"data/train/violin_solo_train_Kreisler cadenza for Beethoven violin concerto, 3rd mvt 1716 Stradivari ex-Milstein .wav",0,violin,train
"data/train/violin_solo_train_Kreisler cadenza for Beethoven violin concerto, 3rd mvt 1716 Stradivari ex-Milstein .wav",88200,violin,train
"data/train/violin_solo_train_Kreisler cadenza for Beethoven violin concerto, 3rd mvt 1716 Stradivari ex-Milstein .wav",176400,violin,train
"data/train/violin_solo_train_Kreisler cadenza for Beethoven violin concerto, 3rd mvt 1716 Stradivari ex-Milstein .wav",264600,violin,train
"data/train/violin_solo_train_Kreisler cadenza for Beethoven violin concerto, 3rd mvt 1716 Stradivari ex-Milstein .wav",352800,violin,train
"data/train/violin_solo_train_Kreisler cadenza for Beethoven violin concerto, 3rd mvt 1716 Stradivari ex-Milstein .wav",441000,violin,train
"data/train/violin_solo_train_Kreisler cadenza for Beethoven violin concerto, 3rd mvt 1716 Stradivari ex-Milstein .wav",529200,violin,train
"data/train/violin_solo_train_Kreisler cadenza for Beethoven violin concerto, 3rd mvt 1716 Stradivari ex-Milstein .wav",617400,violin,train
"data/train/violin_solo_train_Kreisler cadenza for Beethoven violin concerto, 3rd mvt 1716 Stradivari ex-Milstein .wav",705600,violin,train
"data/train/violin_solo_train_Kreisler cadenza for Beethoven violin concerto, 3rd mvt 1716 Stradivari ex-Milstein .wav",793800,violin,train
"data/train/violin_solo_train_Kreisler cadenza for Beethoven violin concerto, 3rd mvt 1716 Stradivari ex-Milstein .wav",882000,violin,train
"data/train/violin_solo_train_Kreisler cadenza for Beethoven violin concerto, 3rd mvt 1716 Stradivari ex-Milstein .wav",970200,violin,train
"data/train/violin_solo_train_Kreisler cadenza for Beethoven violin concerto, 3rd mvt 1716 Stradivari ex-Milstein .wav",1058400,violin,train
"data/train/violin_solo_train_Kreisler cadenza for Beethoven violin concerto, 3rd mvt 1716 Stradivari ex-Milstein .wav",1146600,violin,train
"data/train/violin_solo_train_Kreisler cadenza for Beethoven violin concerto, 3rd mvt 1716 Stradivari ex-Milstein .wav",1234800,violin,train
"data/train/violin_solo_train_Kreisler cadenza for Beethoven violin concerto, 3rd mvt 1716 Stradivari ex-Milstein .wav",1323000,violin,train
"data/train/violin_solo_train_Kreisler cadenza for Beethoven violin concerto, 3rd mvt 1716 Stradivari ex-Milstein .wav",1411200,violin,train
"data/train/violin_solo_train_Kreisler cadenza for Beethoven violin concerto, 3rd mvt 1716 Stradivari ex-Milstein .wav",1499400,violin,train
"data/train/violin_solo_train_Kreisler cadenza for Beethoven violin concerto, 3rd mvt 1716 Stradivari ex-Milstein .wav",1587600,violin,train
"data/train/violin_solo_train_Kreisler cadenza for Beethoven violin concerto, 3rd mvt 1716 Stradivari ex-Milstein .wav",1675800,violin,train
"data/train/violin_solo_train_Kreisler cadenza for Beethoven violin concerto, 3rd mvt 1716 Stradivari ex-Milstein .wav",1764000,violin,train
"data/train/violin_solo_train_Kreisler cadenza for Beethoven violin concerto, 3rd mvt 1716 Stradivari ex-Milstein .wav",1852200,violin,train
"data/train/violin_solo_train_Kreisler cadenza for Beethoven violin concerto, 3rd mvt 1716 Stradivari ex-Milstein .wav",1940400,violin,train
"data/train/violin_solo_train_Kreisler cadenza for Beethoven violin concerto, 3rd mvt 1716 Stradivari ex-Milstein .wav",2028600,violin,train
"data/train/violin_solo_train_Kreisler cadenza for Beethoven violin concerto, 3rd mvt 1716 Stradivari ex-Milstein .wav",2116800,violin,train
"data/train/violin_solo_train_Kreisler cadenza for Beethoven violin concerto, 3rd mvt 1716 Stradivari ex-Milstein .wav",2205000,violin,train
"data/train/violin_solo_train_Kreisler cadenza for Beethoven violin concerto, 3rd mvt 1716 Stradivari ex-Milstein .wav",2293200,violin,train
"data/train/violin_solo_train_Kreisler cadenza for Beethoven violin concerto, 3rd mvt 1716 Stradivari ex-Milstein .wav",2381400,violin,train
"data/train/violin_solo_train_Kreisler cadenza for Beethoven violin concerto, 3rd mvt 1716 Stradivari ex-Milstein .wav",2469600,violin,train
"data/train/violin_solo_train_Kreisler cadenza for Beethoven violin concerto, 3rd mvt 1716 Stradivari ex-Milstein .wav",2557800,violin,train
"data/train/violin_solo_train_Kreisler cadenza for Beethoven violin concerto, 3rd mvt 1716 Stradivari ex-Milstein .wav",2646000,violin,train
"data/train/violin_solo_train_Kreisler cadenza for Beethoven violin concerto, 3rd mvt 1716 Stradivari ex-Milstein .wav",2734200,violin,train
"data/train/violin_solo_train_Kreisler cadenza for Beethoven violin concerto, 3rd mvt 1716 Stradivari ex-Milstein .wav",2822400,violin,train
"data/train/violin_solo_train_Kreisler cadenza for Beethoven violin concerto, 3rd mvt 1716 Stradivari ex-Milstein .wav",2910600,violin,train
"data/train/violin_solo_train_Kreisler cadenza for Beethoven violin concerto, 3rd mvt 1716 Stradivari ex-Milstein .wav",2998800,violin,train
"data/train/violin_solo_train_Kreisler cadenza for Beethoven violin concerto, 3rd mvt 1716 Stradivari ex-Milstein .wav",3087000,violin,train
"data/train/violin_solo_train_Mozart 39, II. beg.-38.wav",0,violin,train
"data/train/violin_solo_train_Mozart 39, II. beg.-38.wav",88200,violin,train
"data/train/violin_solo_train_Mozart 39, II. beg.-38.wav",176400,violin,train
"data/train/violin_solo_train_Mozart 39, II. beg.-38.wav",264600,violin,train
"data/train/violin_solo_train_Mozart 39, II. beg.-38.wav",352800,violin,train
"data/train/violin_solo_train_Mozart 39, II. beg.-38.wav",441000,violin,train
"data/train/violin_solo_train_Mozart 39, II. beg.-38.wav",529200,violin,train
"data/train/violin_solo_train_Mozart 39, II. beg.-38.wav",617400,violin,train
"data/train/violin_solo_train_Mozart 39, II. beg.-38.wav",705600,violin,train
"data/train/violin_solo_train_Mozart 39, II. beg.-38.wav",793800,violin,train
"data/train/violin_solo_train_Mozart 39, II. beg.-38.wav",882000,violin,train
"data/train/violin_solo_train_Mozart 39, II. beg.-38.wav",970200,violin,train
"data/train/violin_solo_train_Mozart 39, II. beg.-38.wav",1058400,violin,train
"data/train/violin_solo_train_Mozart 39, II. beg.-38.wav",1146600,violin,train
"data/train/violin_solo_train_Mozart 39, II. beg.-38.wav",1234800,violin,train
"data/train/violin_solo_train_Mozart 39, II. beg.-38.wav",1323000,violin,train
"data/train/violin_solo_train_Mozart 39, II. beg.-38.wav",1411200,violin,train
"data/train/violin_solo_train_Mozart 39, II. beg.-38.wav",1499400,violin,train
"data/train/violin_solo_train_Mozart 39, II. beg.-38.wav",1587600,violin,train
"data/train/violin_solo_train_Mozart 39, II. beg.-38.wav",1675800,violin,train
"data/train/violin_solo_train_Mozart 39, II. beg.-38.wav",1764000,violin,train
"data/train/violin_solo_train_Mozart 39, II. beg.-38.wav",1852200,violin,train
"data/train/violin_solo_train_Mozart 39, II. beg.-38.wav",1940400,violin,train
"data/train/violin_solo_train_Mozart 39, II. beg.-38.wav",2028600,violin,train
"data/train/violin_solo_train_Mozart 39, II. beg.-38.wav",2116800,violin,train
"data/train/violin_solo_train_Mozart 39, II. beg.-38.wav",2205000,violin,train
"data/train/violin_solo_train_Mozart 39, II. beg.-38.wav",2293200,violin,train
"data/train/violin_solo_train_Mozart 39, II. beg.-38.wav",2381400,violin,train
"data/train/violin_solo_train_Mozart 39, II. beg.-38.wav",2469600,violin,train
"data/train/violin_solo_train_Mozart 39, II. beg.-38.wav",2557800,violin,train
"data/train/violin_solo_train_Mozart 39, II. beg.-38.wav",2646000,violin,train
"data/train/violin_solo_train_Mozart 39, II. beg.-38.wav",2734200,violin,train
"data/train/violin_solo_train_Mozart 39, II. beg.-38.wav",2822400,violin,train
"data/train/violin_solo_train_Mozart 39, II. beg.-38.wav",2910600,violin,train
"data/train/violin_solo_train_Mozart 39, II. beg.-38.wav",2998800,violin,train
"data/train/violin_solo_train_Mozart 39, II. beg.-38.wav",3087000,violin,train
"data/train/violin_solo_train_Mozart 39, II. beg.-38.wav",3175200,violin,train
"data/train/violin_solo_train_Mozart 39, II. beg.-38.wav",3263400,violin,train
"data/train/violin_solo_train_Mozart 39, II. beg.-38.wav",3351600,violin,train
"data/train/violin_solo_train_Mozart 39, II. beg.-38.wav",3439800,violin,train
"data/train/violin_solo_train_Mozart 39, II. beg.-38.wav",3528000,violin,train
"data/train/violin_solo_train_Mozart 39, II. beg.-38.wav",3616200,violin,train
"data/train/violin_solo_train_Mozart 39, II. beg.-38.wav",3704400,violin,train
data/train/violin_solo_train_MOZART - Queen of the Night - Magic Flute - violin solo.wav,0,violin,train
data/train/violin_solo_train_MOZART - Queen of the Night - Magic Flute - violin solo.wav,88200,violin,train
data/train/violin_solo_train_MOZART - Queen of the Night - Magic Flute - violin solo.wav,176400,violin,train
data/train/violin_solo_train_MOZART - Queen of the Night - Magic Flute - violin solo.wav,264600,violin,train
data/train/violin_solo_train_MOZART - Queen of the Night - Magic Flute - violin solo.wav,352800,violin,train
data/train/violin_solo_train_MOZART - Queen of the Night - Magic Flute - violin solo.wav,441000,violin,train
data/train/violin_solo_train_MOZART - Queen of the Night - Magic Flute - violin solo.wav,529200,violin,train
data/train/violin_solo_train_MOZART - Queen of the Night - Magic Flute - violin solo.wav,617400,violin,train
data/train/violin_solo_train_MOZART - Queen of the Night - Magic Flute - violin solo.wav,705600,violin,train
data/train/violin_solo_train_MOZART - Queen of the Night - Magic Flute - violin solo.wav,793800,violin,train
data/train/violin_solo_train_MOZART - Queen of the Night - Magic Flute - violin solo.wav,882000,violin,train
data/train/violin_solo_train_MOZART - Queen of the Night - Magic Flute - violin solo.wav,970200,violin,train
data/train/violin_solo_train_MOZART - Queen of the Night - Magic Flute - violin solo.wav,1058400,violin,train
data/train/violin_solo_train_MOZART - Queen of the Night - Magic Flute - violin solo.wav,1146600,violin,train
data/train/violin_solo_train_MOZART - Queen of the Night - Magic Flute - violin solo.wav,1234800,violin,train
data/train/violin_solo_train_MOZART - Queen of the Night - Magic Flute - violin solo.wav,1323000,violin,train
data/train/violin_solo_train_MOZART - Queen of the Night - Magic Flute - violin solo.wav,1411200,violin,train
data/train/violin_solo_train_MOZART - Queen of the Night - Magic Flute - violin solo.wav,1499400,violin,train
data/train/violin_solo_train_MOZART - Queen of the Night - Magic Flute - violin solo.wav,1587600,violin,train
data/train/violin_solo_train_MOZART - Queen of the Night - Magic Flute - violin solo.wav,1675800,violin,train
data/train/violin_solo_train_MOZART - Queen of the Night - Magic Flute - violin solo.wav,1764000,violin,train
data/train/violin_solo_train_MOZART - Queen of the Night - Magic Flute - violin solo.wav,1852200,violin,train
data/train/violin_solo_train_MOZART - Queen of the Night - Magic Flute - violin solo.wav,1940400,violin,train
data/train/violin_solo_train_MOZART - Queen of the Night - Magic Flute - violin solo.wav,2028600,violin,train
data/train/violin_solo_train_MOZART - Queen of the Night - Magic Flute - violin solo.wav,2116800,violin,train
data/train/violin_solo_train_MOZART - Queen of the Night - Magic Flute - violin solo.wav,2205000,violin,train
data/train/violin_solo_train_MOZART - Queen of the Night - Magic Flute - violin solo.wav,2293200,violin,train
data/train/violin_solo_train_MOZART - Queen of the Night - Magic Flute - violin solo.wav,2381400,violin,train
data/train/violin_solo_train_MOZART - Queen of the Night - Magic Flute - violin solo.wav,2469600,violin,train
data/train/violin_solo_train_MOZART - Queen of the Night - Magic Flute - violin solo.wav,2557800,violin,train
data/train/violin_solo_train_MOZART - Queen of the Night - Magic Flute - violin solo.wav,2646000,violin,train
data/train/violin_solo_train_MOZART - Queen of the Night - Magic Flute - violin solo.wav,2734200,violin,train
data/train/violin_solo_train_MOZART - Queen of the Night - Magic Flute - violin solo.wav,2822400,violin,train
data/train/violin_solo_train_MOZART - Queen of the Night - Magic Flute - violin solo.wav,2910600,violin,train
data/train/violin_solo_train_MOZART - Queen of the Night - Magic Flute - violin solo.wav,2998800,violin,train
data/train/violin_solo_train_MOZART - Queen of the Night - Magic Flute - violin solo.wav,3087000,violin,train
data/train/violin_solo_train_MOZART - Queen of the Night - Magic Flute - violin solo.wav,3175200,violin,train
data/train/violin_solo_train_MOZART - Queen of the Night - Magic Flute - violin solo.wav,3263400,violin,train
data/train/violin_solo_train_MOZART - Queen of the Night - Magic Flute - violin solo.wav,3351600,violin,train
